ID,Title,Status,Owner,Authoring Company,Last Modified On,Published Channels,Expiry Date
"UC10000156","Harnessing Generative AI Capabilities  with SAP HANA Cloud Vector Engine","Published","Vivek RR","SAP","May 20, 2026","Discovery Center","May 20, 2027"
"UC10000573","ABAP Cloud Learning Map","Draft","Carine Tchoutouo Djomo","SAP","May 19, 2026","",""
"UC10000412","Get started with SAP Integration Suite, advanced event mesh","Draft","Antonio Maradiaga","SAP","May 18, 2026","Content Discovery, Discovery Center","Jun 16, 2026"
"UC10000506","Publish Platform Events and fetch them using the Salesforce Pub/Sub Adapter","Published","Divij Balguri","Rojo","May 18, 2026","Content Discovery, Discovery Center","May 18, 2027"
"UC10000571","Get Started with SAP Integration Suite - Copy","Draft","Mark Buchakjian","SAP","May 14, 2026","",""
"UC10000561","Extend SAP SuccessFactors with the Semos Cloud AI Agent Suite on SAP BTP","Published","Ivana Maznevska","Semos Cloud","May 13, 2026","Content Discovery, Discovery Center, SAP.COM","May 12, 2027"
"UC10000003","Develop a Full-Stack CAP Application Following the SAP BTP Developer’s Guide","In Review","Ekaterina Mitova","SAP","May 13, 2026","","May 13, 2027"
"UC00003258","Get Started with SAP Integration Suite","Draft","Maiara Ellwanger","SAP","May 12, 2026","Content Discovery, Discovery Center","Feb 26, 2027"
"UC10000289","Marco Test Use Case","Draft","Marco Geldmacher","SAP","May 12, 2026","",""
"UC10000557","Activate free SAP Build - Test, Demo and Development for SAP Partners","Published","Gaurav Dey","SAP","May 12, 2026","Content Discovery, Discovery Center","Apr 28, 2027"
"UC10000566","Activate Joule for DSCM - APM, IPD & DM","Draft","Gaurav Dey","SAP","May 12, 2026","",""
"UC00003248","Develop extensions for SAP S/4HANA with SAP BTP, ABAP Environment, runtime","Draft","Andre Fischer","SAP","May 11, 2026","Content Discovery, Discovery Center","Jun 27, 2026"
"UC10000544","Explore SAP Business Data Cloud and enhance the Working Capital Insights application","Published","Gaurav Dey","SAP","May 11, 2026","Content Discovery, Discovery Center","May 11, 2027"
"UC00004106","Predict Inventory Allocation with Amazon Sagemaker and FedML","Published","Karishma Kapur","SAP","May 11, 2026","Content Discovery, Discovery Center","Jul 29, 2026"
"UC00004201","Improve Supply Chain Resiliency with SAP Business Network - Value Analytics","Published","Daniel Schunk","SAP","May 11, 2026","Content Discovery, Discovery Center","Mar 31, 2027"
"UC00004200","Predict your Supply Chain with Google Vertex AI and FedML","Published","Karishma Kapur","SAP","May 11, 2026","Content Discovery, Discovery Center","Apr 21, 2027"
"UC10000554","AI Assisted Development with Joule Studio","Draft","Kimay Ramnarain","SAP","May 8, 2026","",""
"UC00003794","Securely Manage HR Document Creation","Published","Luisa Contini Nemmert","Accenture","May 8, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC10000413","How to Extract and Process Business Information with SAP Enterprise Service Management","Published","Sven Feurer","SAP","May 8, 2026","Content Discovery, Discovery Center","May 8, 2027"
"UC10000488","AI Powered Invoice Automation","In Review","Narasimha Rao Addanki","SAP","May 8, 2026","",""
"UC00004053","Set Up Replication from SAP HANA Database to SAP HANA Cloud Database Using Replication Service","Published","Luca Tallarita","SAP","May 7, 2026","Content Discovery, Discovery Center","May 7, 2027"
"UC10000547","Augment Human Experience with Retrieval Augmented Generation (RAG) on SAP BTP","Draft","Kimay Ramnarain","SAP","May 7, 2026","",""
"UC10000321","Add Printing Labels to Your User Experience for SAP S/4HANA Cloud with CAP Node.js","Published","Jacky Liu","SAP","May 7, 2026","Content Discovery, Discovery Center","May 7, 2027"
"UC10000428","Autonomous Procurement","Draft","Bertrand MOUTARDE","SAP","May 6, 2026","",""
"UC10000565","Label test Use case","Draft","Elisabeth Pilarczyk","SAP","May 6, 2026","",""
"UC10000558","Establish an Event Driven Architecture [Content Package]","Draft","Mark Buchakjian","SAP","May 6, 2026","",""
"UC10000555","Custom AI Agents on SAP BTP","Draft","Kimay Ramnarain","SAP","May 6, 2026","",""
"UC10000551","Getting Started with Integration Suite [Content Package]","Draft","Mark Buchakjian","SAP","May 6, 2026","",""
"UC00004110","Synchronize Orders Data Between SAP S/4HANA and Third-Party CRM","Published","Ashish Kuvvarapu","Rojo","May 5, 2026","Content Discovery, Discovery Center","May 5, 2027"
"UC10000564","Akash Release Test Use Case","Draft","Akash Mishra","SAP","May 5, 2026","",""
"UC10000010","sachit release test","Draft","Disco Engineer","Discovery Customer","May 5, 2026","Discovery Center","Nov 12, 2025"
"UC10000550","CAPGEMINI: Automate Import Declarations with AI-Powered Document Intelligence (GTS Smart Check)","Draft","Sten Frellesvig","SAP","May 4, 2026","",""
"UC10000563","Jaakkos First Use Case","Draft","Ingo Deck","SAP","May 4, 2026","",""
"UC10000562","test mission bettina","Draft","Bettina Mussgnug","SAP","May 4, 2026","",""
"UC00003283","Establish a central entry point with SAP Build Work Zone, standard edition (formerly SAP Launchpad service)","Published","Yumnah ABBASI","SAP","Apr 30, 2026","Content Discovery, Discovery Center","Apr 30, 2027"
"UC00004172","Build Events-to-Business Actions Apps with SAP BTP and MS Azure/AWS","Published","Uma Anbazhagan","SAP","Apr 30, 2026","Content Discovery, Discovery Center","Aug 7, 2026"
"UC10000421","SAP S/4HANA Cloud Transportation Order Attachment Management with the SAP CAP Java","Draft","Jacky Liu","SAP","Apr 30, 2026","Content Discovery, Discovery Center","Jul 29, 2026"
"UC00003260","Process and approve your invoices with SAP Build Process Automation","Published","Archit Goel","SAP","Apr 30, 2026","Content Discovery, Discovery Center, SAP.COM","Feb 24, 2027"
"UC00003808","Onboarding & First Steps to SAP Cloud ALM","Published","Johanna Moehlecke","SAP","Apr 29, 2026","Content Discovery, Discovery Center","Apr 27, 2027"
"UC00003968","Get Started with SAP Cloud ALM for Operations","Draft","Johanna Moehlecke","SAP","Apr 29, 2026","Content Discovery, Discovery Center","May 14, 2026"
"UC00003913","Get Started with SAP Cloud ALM for Implementation","Published","Johanna Moehlecke","SAP","Apr 29, 2026","Content Discovery, Discovery Center","Jan 6, 2027"
"UC10000501","Retrieve Shopify Orders through the Shopify Adapter","Published","Christian Serafimov","Wiser Technology","Apr 29, 2026","Content Discovery, Discovery Center","Mar 18, 2027"
"UC10000560","Arnes First missio","Draft","Katrin von Ahsen","SAP","Apr 29, 2026","",""
"UC10000499","Activate Joule for SAP S/4HANA Private Cloud Edition","Published","Amrita Varshini E R","SAP","Apr 29, 2026","Discovery Center","Apr 29, 2027"
"UC10000559","TEST - Use Cases Validation for Next-Gen Ariba Partner Bootcamp","Draft","Shirley Zhou","SAP","Apr 28, 2026","",""
"UC00003334","Optimize Your HR & Organizational Data","Draft","Stephan Kohler","Ingentis","Apr 24, 2026","","Apr 30, 2026"
"UC00003273","Realise your SAP Cloud Platform Proof of Concept (PoC)","Draft","Ray Gardner","HCL","Apr 23, 2026","",""
"UC00003270","Gain insights to build your Cloud Native Strategy & Roadmap","Draft","Ray Gardner","HCL","Apr 23, 2026","",""
"UC10000466","Build custom Joule skills for SAP and non-SAP systems using Joule  Studio","Draft","Ashok Kumar M","SAP","Apr 22, 2026","Content Discovery, Discovery Center","Jul 22, 2026"
"UC10000177","Integrate SAP Cloud ALM with External Tasks Management Systems","Published","Xavier Dupeyrat","SAP","Apr 21, 2026","Content Discovery, Discovery Center","Apr 21, 2027"
"UC10000548","Event & AI-Driven Supplier Risk Assessment in Procurement Contracts","Draft","Daniil Bolobonov","SAP","Apr 21, 2026","",""
"UC10000556","Activate Joule with SAP Fieldglass","Draft","Hemanth Grandhi","SAP","Apr 21, 2026","",""
"UC10000522","Integrate SAP Signavio with Joule","Draft","Gaurav Dey","SAP","Apr 20, 2026","",""
"UC00004323","Implement SAP Sustainability Control Tower","Published","Tina Gailus","SAP","Apr 20, 2026","Content Discovery, Discovery Center","Apr 17, 2027"
"UC10000553","CAPGEMINI: Automate Risk-Based Dunning Across Order-to-Cash (OTC Dunning)","Draft","Sten Frellesvig","SAP","Apr 20, 2026","",""
"UC10000552","CAPGEMINI: Accelerate Supplier Selection with RFQ Negotiation Agent Network","Draft","Sten Frellesvig","SAP","Apr 20, 2026","",""
"UC00000002","Build HR Document Templates","Published","Luisa Contini Nemmert","Accenture","Apr 20, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC10000409","Get started with SAP Build","Draft","Rupa Maity","SAP","Apr 20, 2026","Content Discovery, Discovery Center","Apr 13, 2027"
"UC00004130","Synchronize Products Data Between SAP S/4HANA and Third-Party CRM","Published","Ashish Kuvvarapu","Rojo","Apr 20, 2026","Content Discovery, Discovery Center","Feb 3, 2027"
"UC10000395","SAP Integration Suite receives data from SAP Signavio Process Intelligence via Action","Draft","Jonas Germann","SAP","Apr 20, 2026","",""
"UC10000393","Integrate SAP Event Mesh in SAP Signavio Process Intelligence via Action","Draft","Jonas Germann","SAP","Apr 20, 2026","",""
"UC00003793","Archive Documents In SAP SuccessFactors","Published","Luisa Contini Nemmert","Accenture","Apr 17, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC00000001","Safely Replicate HR Production Errors","Published","Luisa Contini Nemmert","Accenture","Apr 17, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC00003791","Create Anonymized HR Test Data","Published","Luisa Contini Nemmert","Accenture","Apr 17, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC00004129","Facilitate Mass Data Changes","Published","Luisa Contini Nemmert","Accenture","Apr 17, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC00000003","Validate HR Data Ongoing","Published","Luisa Contini Nemmert","Accenture","Apr 17, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC00003795","Validate HR Data During System Migrations","Published","Luisa Contini Nemmert","Accenture","Apr 17, 2026","Content Discovery, Discovery Center","Sep 11, 2026"
"UC10000476","Build custom AI Agents with Joule Studio","Published","Sean David","SAP","Apr 17, 2026","Content Discovery, Discovery Center","Dec 20, 2026"
"UC10000530","High Availability Architecture for the UX/HANA Cloud Business Critical apps - (clean core)","Draft","Dan Barton","Bluestonex","Apr 15, 2026","","Apr 1, 2027"
"UC00003267","Digitalize your paper based process in SAP S/4 HANA on-prem","Draft","Luca Tallarita","SAP","Apr 15, 2026","Content Discovery, Discovery Center, SAP.COM","Sep 29, 2026"
"UC00093368","Farming 4.0","Draft","Omid Nazier","SAP","Apr 13, 2026","Content Discovery","Mar 5, 2027"
"UC00003784","Accelerate Development of SAP S/4HANA Extension Applications with SAP Business Application Studio","Draft","Divya Shanmugam","SAP","Apr 13, 2026","","Apr 23, 2026"
"UC00003302","Build Java Applications on Cloud Foundry","Published","Gergana Tsakova","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Apr 20, 2027"
"UC10000293","Extract your Concur Data Delivery Service using SAP Integration Suite","Published","Pranav S","SAP","Apr 13, 2026","Content Discovery, Discovery Center, SAP.COM","Sep 4, 2026"
"UC10000353","Add Printing Labels to Your User Experience for SAP S/4HANA Cloud with CAP Java","Published","Jacky Liu","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Apr 13, 2027"
"UC10000407","Implement Central Market Data Governance","Published","Dirk Neumann","Brisken","Apr 13, 2026","Content Discovery, Discovery Center","Feb 2, 2027"
"UC10000396","Automate Agency Recruiting Process with SAP Build Process Automation","Published","Paul Plath","adesso orange","Apr 13, 2026","Content Discovery, Discovery Center","Dec 27, 2026"
"UC10000351","Handling RISE with SAP - S/4 HANA Private Edition for Financials with IBM Apptio","Published","Ankit Guria","IBM","Apr 13, 2026","Content Discovery, Discovery Center, SAP.COM","Nov 11, 2026"
"UC10000344","Integrate SAP Signavio Process Intelligence with SAP Datasphere to enhance data acquisition","Published","Jonas Germann","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Nov 21, 2026"
"UC10000358","Integrate SAP Signavio Process Manager with SAP Document Management service","Published","Jonas Germann","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Nov 27, 2026"
"UC10000352","Enhancing Application Performance with IBM Instana for SAP BTP Cloud Native Apps","Published","Ankit Guria","IBM","Apr 13, 2026","Content Discovery, Discovery Center, SAP.COM","Sep 10, 2026"
"UC10000336","Integrate SAP Signavio Process Insights with SAP Analytics Cloud & SAP Datasphere","Published","Jonas Germann","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Dec 5, 2026"
"UC10000330","Develop a Multitenant CAP Application Following the SAP BTP Developer's Guide","Published","Ekaterina Mitova","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Apr 13, 2027"
"UC10000287","Control your Operational Cost: Setting up a BTP Financial Operations application","Published","Willem PARDAENS","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Jul 24, 2026"
"UC10000257","SAP S/4HANA Cloud Transportation Order Attachment Management in the SAP BTP ABAP Environment","Published","Jacky Liu","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Jul 29, 2026"
"UC10000234","Activate Joule for SAP SuccessFactors","Published","Harjeet Judge","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Apr 16, 2027"
"UC10000237","Integrating SAP Datasphere & SAP AI Core with IBM Watsonx using FedML","Draft","Alex Bishka","SAP","Apr 13, 2026","","May 6, 2026"
"UC10000231","Leverage SAP Ariba data model in SAP Datasphere","Draft","Swen Fuchs","SAP","Apr 13, 2026","","Apr 25, 2026"
"UC10000228","Get Started with SAP Build Code and Joule using Generative AI (Trial Account)","Published","Christian  Kirschnick","SAP","Apr 13, 2026","Content Discovery, Discovery Center","Feb 18, 2027"
"UC10000220","Get started with SAP Returnable Packaging Management","Published","Harsha Chaithanya Kethepalle","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jul 31, 2026"
"UC10000212","Implement Observability in a Full-Stack CAP Application Following SAP BTP Developer’s Guide","Published","Ekaterina Mitova","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Apr 13, 2027"
"UC10000211","Develop an Enterprise-Grade CAP Application Following the SAP BTP Developer’s Guide","Published","Ekaterina Mitova","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jul 29, 2026"
"UC10000210","Develop a Side-by-Side CAP-Based Extension Application Following the SAP BTP Developer’s Guide","Published","Ekaterina Mitova","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Apr 13, 2027"
"UC10000209","Get Started with Document AI and Generative AI","Published","Tomasz Janasz","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 29, 2027"
"UC10000161","Enable digital signatures in a SAP Fiori Custom Control (eIDAS)","Published","Thomas Brandstetter","snap","Apr 12, 2026","Content Discovery, Discovery Center","Mar 2, 2027"
"UC10000165","Set Up SAP AI Core Generative AI Hub","Published","Oliver Stiefbold","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 18, 2027"
"UC10000155","Implement and Configure Electronic Invoicing for Saudi Arabia","Published","Zaheer DAWZI","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 4, 2027"
"UC10000133","Develop a Full-Stack RAP Application Following the SAP BTP Developer’s Guide","Published","Andre Fischer","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 9, 2027"
"UC00004325","Get Started with SAP BTP - Cloud Identity Service Provider (SAP IdP)","Published","Nagesh Caparthy","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Nov 25, 2026"
"UC00004310","Migrate from legacy Ariba ITK (Integration Toolkit) to SAP BTP's Integration Suite","Published","David Maloney","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Aug 28, 2026"
"UC00004271","Simply Apply in SAP SuccessFactors Without Account Creation or Password Entry","Published","Monika Czajczyk","HCM ADVICE","Apr 12, 2026","Content Discovery, Discovery Center","Feb 2, 2027"
"UC00004260","Integrate ERP and SAP Ariba Procurement Solution using text file exchange tool -BTP Integration","Published","Ganesh Ramachandran","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 2, 2027"
"UC00004243","Integrate SAP Cloud ALM with External Incident Systems","Published","Xavier Dupeyrat","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Dec 9, 2026"
"UC00004197","Gain Insights through NexGen Procurement Analytics","Published","Swen Fuchs","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 6, 2027"
"UC00004196","Automate over 65% of your SAP Integration Suite migration with Int4 solutions","Published","Michal Krawczyk","Int4","Apr 12, 2026","Content Discovery, Discovery Center","Mar 3, 2027"
"UC00004183","Define Your Dashboard for Procurement","Published","Swen Fuchs","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Apr 13, 2027"
"UC00004163","Extend SAP S/4HANA with SAP Build Process Automation","Published","Stephen Cherian","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Sep 9, 2026"
"UC00004138","Enable business partner address cleansing in SAP S/4HANA","Published","Hozumi Nakano","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Dec 10, 2026"
"UC00004111","Get Started with SAP Master Data Governance, cloud edition (Free Tier)","Published","Ria Walz","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 29, 2027"
"UC00004068","Enable Supplier Collaboration across SAP and Microsoft Azure Ecosystem using SAP BTP","Draft","Uma Anbazhagan","SAP","Apr 12, 2026","","Apr 21, 2027"
"UC00004063","Simplify your SAP Cloud Integration with the Figaf DevOps Suite","Published","Michael Byrd","Figaf","Apr 12, 2026","Content Discovery, Discovery Center","Mar 4, 2027"
"UC00004038","Extract your Ariba Spend Data using SAP Integration Suite","Published","Raj Chintam","SAP","Apr 12, 2026","Content Discovery, Discovery Center, SAP.COM","Mar 3, 2027"
"UC00004036","Get Started with SAP S/4HANA Cloud, ABAP environment","Published","Merve Temel","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 13, 2027"
"UC00004024","Keep the Core Clean Using SAP Build Apps with SAP S/4HANA","Published","Ilya Belozerov","SAP","Apr 12, 2026","Content Discovery, Discovery Center, SAP.COM","Feb 17, 2027"
"UC00003969","Automate Recruiting User Efficiency","Published","Pedro Iranzo Egea","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Mar 26, 2027"
"UC00003944","Predict and Analyze Retail Inventory Allocation using FedML","Published","Sangeetha Krishnamoorthy","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jul 18, 2026"
"UC00003888","Market Rates from Central Banks","Published","Dirk Neumann","Brisken","Apr 12, 2026","Content Discovery, Discovery Center","Feb 10, 2027"
"UC00003842","Get Started with Integration Suite, Integration Assessment","Published","Katrin von Ahsen","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 28, 2027"
"UC00003821","Integrate SAP Analytics Cloud with SAP Cloud ALM","Published","Xavier Dupeyrat","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 7, 2027"
"UC00003782","Visualize employee sentiments leveraging real-time analytics","Published","Vivek RR","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jul 28, 2026"
"UC00003774","Establish a Central Inbox with SAP Task Center","Published","Ferit Hayrulov","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Mar 2, 2027"
"UC00003717","Automate the Migration from SAP Process Integration to SAP Integration Suite with Figaf","Published","Daniel Graversen","Figaf","Apr 12, 2026","Content Discovery, Discovery Center","Mar 3, 2027"
"UC00003690","Visualize Truck Routes & Hazards Using Geo Spatial Processing","Published","Vivek RR","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Sep 9, 2026"
"UC00003685","Get Started with a Standalone SAP HANA Cloud, Data Lake","Published","Daniel Van Leeuwen","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 27, 2027"
"UC00003655","Gain Visibility into Channel Inventory for Better Decision Making on the Supply Chain","Published","Yining Liu","SAP","Apr 12, 2026","Content Discovery, Discovery Center, SAP.COM","Sep 30, 2026"
"UC00003615","Make Changes to Your Organizational Structure Simply by Dragging and Dropping","Published","Monika Czajczyk","HCM ADVICE","Apr 12, 2026","Content Discovery, Discovery Center","Sep 20, 2026"
"UC00003585","Set Up SAP BTP for Fiori and create a Hello World app using AI and UI5 MCP server","Published","Oliver Stiefbold","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 18, 2027"
"UC00003530","Include All Users by Enabling Accessibility in Your Digital Experience","Published","Dobrin Dimchev","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jun 23, 2026"
"UC00003497","Monitoring workspaces by overlaying floorplans with sensor data","Published","Adi Pleyer","SAP","Apr 12, 2026","Content Discovery, Discovery Center, SAP.COM","Mar 6, 2027"
"UC00003437","Extend your SAP S/4HANA Cloud system with a SAP Fiori app to digitalize your paper-based process","Published","Luca Tallarita","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jul 25, 2026"
"UC00003413","Digitize and Automate Manual Invoice Processing","Published","Ramesh Varsani","Cordis","Apr 12, 2026","Content Discovery, Discovery Center","Mar 17, 2027"
"UC00003403","Accessing data in Amazon S3 from SAP Datasphere","Draft","Sivakumar N","SAP","Apr 12, 2026","","Apr 11, 2026"
"UC00003362","Use SAP Fiori Custom Code Migration App to Analyze Your ABAP Custom Code for SAP S/4HANA Readiness","Published","Olga Dolinskaja","SAP","Apr 12, 2026","Content Discovery, Discovery Center, SAP.COM","Nov 3, 2026"
"UC00003355","Create a central point for business with SAP BTP in China","Published","Bella Wang","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Sep 4, 2026"
"UC00003277","Extend SAP S/4HANA Cloud on SAP Business Technology Platform","Published","Ekaterina Mitova","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jun 23, 2026"
"UC00003264","Extend SAP SuccessFactors on SAP Business Technology Platform","Published","Ekaterina Mitova","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Dec 11, 2026"
"UC00003252","Get Started with SAP BTP, Kyma runtime creating a Hello-World Function","Published","Gaurav Abbi","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Feb 18, 2027"
"UC00003232","Establish security workflow between SAP and Microsoft apps","Published","Holger Bruchelt","Microsoft","Apr 12, 2026","Content Discovery, Discovery Center","Mar 31, 2027"
"UC00003116","Configure identity lifecycle management in a hybrid SAP landscape","Published","Sonia Petrescu","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Apr 7, 2027"
"UC00003114","Establish single sign-on to your cloud solutions","Published","Marko Sommer","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Mar 5, 2027"
"UC00003061","Get Started with SAP BTP ABAP environment","Published","Andre Fischer","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Oct 21, 2026"
"UC00003019","Get Started with SAP BTP Enterprise Account","Published","Gaurav Dey","SAP","Apr 12, 2026","Content Discovery, Discovery Center","Jan 7, 2027"
"UC00000008","Simulate structural changes and org design activities","Published","Stephan Kohler","Ingentis","Apr 12, 2026","Content Discovery, Discovery Center","Jan 7, 2027"
"UC00000004","Create a Culture of Recognition in Your Organization","Published","Jana Velevska","Semos Cloud","Apr 12, 2026","Content Discovery, Discovery Center","Oct 15, 2026"
"UC10000416","Build SAP Fiori Apps with ABAP Cloud and Joule (Enterprise Account)","Published","Sebastian Baskovich","SAP","Apr 10, 2026","Content Discovery, Discovery Center","May 18, 2027"
"UC10000400","Sachit Feb25Rel Test","Draft","Sachit Aggarwal","SAP","Apr 10, 2026","",""
"UC10000546","Leverage government and third-party data to improve HR processes","Draft","Joanne Koh-Stewart","SAP","Apr 9, 2026","SAP.COM",""
"UC10000026","Accelerate CX integration with the SAP Business Suite","Draft","James Rapp","SAP","Apr 9, 2026","SAP.COM","Feb 21, 2026"
"UC10000545","Your new use case title with maximum 80 charactersIngo Test","Draft","Ingo Deck","SAP","Apr 9, 2026","",""
"UC00003067","Implement and Configure Electronic Invoicing for Italy","Draft","Antonio Limonta","SAP","Apr 8, 2026","Content Discovery, Discovery Center","Jun 26, 2026"
"UC10000543","Activate Joule with SAP Signavio Process Transformation Suite","Draft","Marvin Klose","SAP","Apr 7, 2026","",""
"UC10000402","Explore the Shift Planning Application with Seamless Scheduling and Rapid Data Synchronization","Draft","Jevgeni Vassiljev","SUCCESS-SOLUTIONS","Apr 6, 2026","SAP.COM",""
"UC10000462","Activate Analytical Insights in SAP products with Joule","Published","Nagesh Caparthy","SAP","Apr 6, 2026","Content Discovery, Discovery Center","Oct 21, 2026"
"UC10000449","Activate Joule with SAP Integrated Business Planning (IBP)","Draft","Gaurav Dey","SAP","Apr 2, 2026","Content Discovery, Discovery Center","Aug 25, 2026"
"UC10000541","ATOS: Automate Digital Assurance and Testing with Generative AI - QE Assist GenAI for Digital Assura","Draft","Sten Frellesvig","SAP","Apr 1, 2026","",""
"UC00004373","Get Started with SAP Health Data Services for FHIR","Published","Bettina Lieske","SAP","Apr 1, 2026","Content Discovery, Discovery Center","Feb 16, 2027"
"UC10000540","Andreas' vpuc","Draft","Ingo Deck","SAP","Mar 31, 2026","",""
"UC10000527","Dominics first use case","Draft","Dominic Ludolph","SAP","Mar 31, 2026","",""
"UC10000460","Migrate data from SAP Business One to SAP Cloud ERP","Published","Christian Antoni","SAP","Mar 30, 2026","Content Discovery, Discovery Center","Sep 29, 2026"
"UC10000214","Migrate data from SAP Business ByDesign to SAP Cloud ERP","Published","Christian Antoni","SAP","Mar 30, 2026","Content Discovery, Discovery Center","May 13, 2027"
"UC10000267","Attract high-performing employees through ideal employee recognition & rewards programs","In Review","David Drayton","SAP","Mar 24, 2026","",""
